machine,modele,quantification,prompt,classe,n_caracteres,max_tokens,run,tokens,duree_s,energie_kWh,joules,joules_pmic,joules_pmic_cpu,w_moyen_pmic
Pi5,SmolLM2-1.7B,Q3_K_M,"Create a short news article summarizing the following information.
A new report from the World Health Organization suggests that mental health in adolescents is declining due to increased social media and technology use.",long,220,64,1,0,1.56,8.389225560132374e-06,30.2,9.9,8.1,7.27
Pi5,SmolLM2-1.7B,Q3_K_M,"Create a short news article summarizing the following information.
A new report from the World Health Organization suggests that mental health in adolescents is declining due to increased social media and technology use.",long,220,64,2,0,1.55,8.371219269553025e-06,30.1,9.9,7.9,7.22
Pi5,SmolLM2-1.7B,Q3_K_M,"Create a short news article summarizing the following information.
A new report from the World Health Organization suggests that mental health in adolescents is declining due to increased social media and technology use.",long,220,64,3,0,1.56,8.305842853882604e-06,29.9,10.6,8.6,7.21
Pi5,SmolLM2-1.7B,Q3_K_M,Does cognitive empathy exist?,court,29,256,1,0,0.27,1.625821992666589e-06,5.9,1.4,1.0,5.94
Pi5,SmolLM2-1.7B,Q3_K_M,Does cognitive empathy exist?,court,29,256,2,0,0.27,1.6229589694357837e-06,5.8,1.4,1.1,6.26
Pi5,SmolLM2-1.7B,Q3_K_M,Does cognitive empathy exist?,court,29,256,3,0,0.25,1.6040698020318365e-06,5.8,1.7,1.4,7.49
Pi5,SmolLM2-1.7B,Q3_K_M,Generate a movie review,court,23,256,1,256,30.15,7.385742396293588e-05,265.9,169.3,119.5,5.65
Pi5,SmolLM2-1.7B,Q3_K_M,Generate a movie review,court,23,256,2,256,30.13,7.365106558301969e-05,265.1,167.7,118.1,5.61
Pi5,SmolLM2-1.7B,Q3_K_M,Generate a movie review,court,23,256,3,256,30.16,7.402571269125692e-05,266.5,165.5,115.6,5.51
Pi5,SmolLM2-1.7B,Q3_K_M,Identify popular dishes in Mexico.,court,34,256,1,0,0.29,1.652892227055266e-06,6.0,0.0,0.0,0.0
Pi5,SmolLM2-1.7B,Q3_K_M,Identify popular dishes in Mexico.,court,34,256,2,0,0.32,1.694460131628108e-06,6.1,1.2,0.9,5.36
Pi5,SmolLM2-1.7B,Q3_K_M,Identify popular dishes in Mexico.,court,34,256,3,0,0.32,1.6927740125557496e-06,6.1,1.2,0.8,5.05
Pi5,SmolLM2-1.7B,Q3_K_M,What is unique about a hyperbole?,court,33,256,1,0,0.49,1.971866844128553e-06,7.1,3.2,2.4,7.08
Pi5,SmolLM2-1.7B,Q3_K_M,What is unique about a hyperbole?,court,33,256,2,0,0.43,1.8231105224440399e-06,6.6,1.7,1.4,7.45
Pi5,SmolLM2-1.7B,Q3_K_M,What is unique about a hyperbole?,court,33,256,3,0,0.4,1.7962399520002286e-06,6.5,1.4,1.0,5.97
Pi5,SmolLM2-1.7B,Q3_K_M,Write an emergency response plan,court,32,256,1,5,0.86,2.3823870827775913e-06,8.6,4.6,3.4,5.88
Pi5,SmolLM2-1.7B,Q3_K_M,Write an emergency response plan,court,32,256,2,5,0.86,2.3790079962218187e-06,8.6,4.7,3.5,6.04
Pi5,SmolLM2-1.7B,Q3_K_M,Write an emergency response plan,court,32,256,3,5,0.87,2.3875416201667577e-06,8.6,4.2,3.1,6.14
Pi5,SmolLM2-1.7B,Q3_K_M,Generate a quiz about physics.,court,30,256,1,16,2.21,4.713199694691838e-06,17.0,11.8,8.4,5.54
Pi5,SmolLM2-1.7B,Q3_K_M,Generate a quiz about physics.,court,30,256,2,16,2.23,4.732125597511574e-06,17.0,11.1,7.8,5.27
Pi5,SmolLM2-1.7B,Q3_K_M,Generate a quiz about physics.,court,30,256,3,16,2.2,4.70475988253724e-06,16.9,11.8,8.6,5.83
Pi5,SmolLM2-1.7B,Q3_K_M,Develop a metaphor for hope.,court,28,256,1,0,0.31,1.6796157883755362e-06,6.0,1.3,1.0,5.54
Pi5,SmolLM2-1.7B,Q3_K_M,Develop a metaphor for hope.,court,28,256,2,0,0.33,1.7008948022020988e-06,6.1,1.1,0.7,4.64
Pi5,SmolLM2-1.7B,Q3_K_M,Develop a metaphor for hope.,court,28,256,3,0,0.3,1.6609261669444903e-06,6.0,1.7,1.3,7.33
Pi5,SmolLM2-1.7B,Q3_K_M,"Summarize the poem ""Beat! Beat! Drums!""",court,39,256,1,5,1.25,2.942591001129435e-06,10.6,7.0,5.2,5.7
Pi5,SmolLM2-1.7B,Q3_K_M,"Summarize the poem ""Beat! Beat! Drums!""",court,39,256,2,5,1.25,2.9508200520366724e-06,10.6,7.3,5.6,6.51
Pi5,SmolLM2-1.7B,Q3_K_M,"Summarize the poem ""Beat! Beat! Drums!""",court,39,256,3,5,1.23,2.899961334612088e-06,10.4,6.4,4.9,6.34
Pi5,SmolLM2-1.7B,Q3_K_M,Describe the primary colors.,court,28,256,1,0,0.28,1.6394408598154717e-06,5.9,1.4,1.0,6.0
Pi5,SmolLM2-1.7B,Q3_K_M,Describe the primary colors.,court,28,256,2,0,0.26,1.611319914486208e-06,5.8,1.4,1.0,5.94
Pi5,SmolLM2-1.7B,Q3_K_M,Describe the primary colors.,court,28,256,3,0,0.28,1.6348227555552564e-06,5.9,1.1,0.7,4.55
Pi5,SmolLM2-1.7B,Q3_K_M,Name two first aid treatments for a cut.,court,40,256,1,0,0.43,1.834078075146452e-06,6.6,1.8,1.4,7.58
Pi5,SmolLM2-1.7B,Q3_K_M,Name two first aid treatments for a cut.,court,40,256,2,0,0.44,1.8393099262222878e-06,6.6,1.7,1.4,7.54
Pi5,SmolLM2-1.7B,Q3_K_M,Name two first aid treatments for a cut.,court,40,256,3,0,0.41,1.8006270949003388e-06,6.5,1.6,1.3,7.24
Pi5,SmolLM2-1.7B,Q3_K_M,Write one sentence about handwashing.,court,37,256,1,0,0.37,1.7580643443890143e-06,6.3,1.2,0.9,5.12
Pi5,SmolLM2-1.7B,Q3_K_M,Write one sentence about handwashing.,court,37,256,2,0,0.37,1.7557613132219607e-06,6.3,1.7,1.3,7.25
Pi5,SmolLM2-1.7B,Q3_K_M,Write one sentence about handwashing.,court,37,256,3,0,0.37,1.754965103694257e-06,6.3,1.8,1.5,7.92
Pi5,SmolLM2-1.7B,Q3_K_M,Who is Samantha Andrews?,court,24,256,1,0,0.26,1.6073556903192527e-06,5.8,1.6,1.2,6.77
Pi5,SmolLM2-1.7B,Q3_K_M,Who is Samantha Andrews?,court,24,256,2,0,0.28,1.6425405232296072e-06,5.9,1.3,0.9,5.5
Pi5,SmolLM2-1.7B,Q3_K_M,Who is Samantha Andrews?,court,24,256,3,0,0.27,1.626022529833411e-06,5.9,1.3,0.9,5.46
Pi5,SmolLM2-1.7B,Q3_K_M,What year did WW2 start?,court,24,256,1,0,0.34,1.7150514847825565e-06,6.2,1.7,1.4,7.53
Pi5,SmolLM2-1.7B,Q3_K_M,What year did WW2 start?,court,24,256,2,0,0.36,1.743033465577634e-06,6.3,1.2,0.8,5.04
Pi5,SmolLM2-1.7B,Q3_K_M,What year did WW2 start?,court,24,256,3,0,0.39,1.7766644241325132e-06,6.4,1.8,1.4,7.77
Pi5,SmolLM2-1.7B,Q3_K_M,Give 10 features of the sun.,court,28,256,1,0,0.44,1.8397078449996672e-06,6.6,1.4,1.1,6.15
Pi5,SmolLM2-1.7B,Q3_K_M,Give 10 features of the sun.,court,28,256,2,0,0.45,1.8601411674025487e-06,6.7,1.8,1.4,7.57
Pi5,SmolLM2-1.7B,Q3_K_M,Give 10 features of the sun.,court,28,256,3,0,0.44,1.8371591446883136e-06,6.6,1.8,1.4,7.68
Pi5,SmolLM2-1.7B,Q3_K_M,Write a mock newspaper headline.,court,32,256,1,0,0.29,1.6531063752774247e-06,6.0,1.5,1.2,6.69
Pi5,SmolLM2-1.7B,Q3_K_M,Write a mock newspaper headline.,court,32,256,2,0,0.33,1.7074979129074681e-06,6.1,1.2,0.9,5.25
Pi5,SmolLM2-1.7B,Q3_K_M,Write a mock newspaper headline.,court,32,256,3,0,0.32,1.6906849100913481e-06,6.1,1.2,0.8,5.07
Pi5,SmolLM2-1.7B,Q3_K_M,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,256,1,0,0.72,2.203562264121488e-06,7.9,5.1,4.2,7.47
Pi5,SmolLM2-1.7B,Q3_K_M,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,256,2,0,0.73,2.2099271524418815e-06,8.0,4.6,3.7,6.69
Pi5,SmolLM2-1.7B,Q3_K_M,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,256,3,0,0.73,2.2086937671666775e-06,8.0,4.7,3.7,6.78
Pi5,SmolLM2-1.7B,Q3_K_M,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,256,1,256,31.01,5.6283982233007315e-05,202.6,175.1,123.7,5.68
Pi5,SmolLM2-1.7B,Q3_K_M,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,256,2,256,31.04,5.620816440105978e-05,202.3,175.5,124.4,5.69
Pi5,SmolLM2-1.7B,Q3_K_M,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,256,3,256,31.01,5.62123633998857e-05,202.4,174.8,123.1,5.66
Pi5,SmolLM2-1.7B,Q3_K_M,"Parse the given sentence grammatically.
The small jar sat on the shelf.",moyen,71,256,1,0,0.72,2.198866243888915e-06,7.9,4.9,3.9,7.06
Pi5,SmolLM2-1.7B,Q3_K_M,"Parse the given sentence grammatically.
The small jar sat on the shelf.",moyen,71,256,2,0,0.73,2.2062075782163673e-06,7.9,3.3,2.6,7.18
Pi5,SmolLM2-1.7B,Q3_K_M,"Parse the given sentence grammatically.
The small jar sat on the shelf.",moyen,71,256,3,0,0.72,2.1937040980556553e-06,7.9,4.8,3.9,7.06
Pi5,SmolLM2-1.7B,Q3_K_M,"Rewrite the given program in Java.
a = 4
b = 5
c = a + b
print(c)",moyen,65,256,1,256,31.41,5.858427123036433e-05,210.9,175.0,122.4,5.62
Pi5,SmolLM2-1.7B,Q3_K_M,"Rewrite the given program in Java.
a = 4
b = 5
c = a + b
print(c)",moyen,65,256,2,256,31.45,5.8725035126759856e-05,211.4,178.2,126.2,5.69
Pi5,SmolLM2-1.7B,Q3_K_M,"Rewrite the given program in Java.
a = 4
b = 5
c = a + b
print(c)",moyen,65,256,3,256,31.42,5.859720938016202e-05,210.9,179.2,127.4,5.74
Pi5,SmolLM2-1.7B,Q3_K_M,"Based on the input, provide the correct spelling of the word.
ambigious",moyen,71,256,1,1,0.85,2.363825853499672e-06,8.5,4.8,3.8,6.91
Pi5,SmolLM2-1.7B,Q3_K_M,"Based on the input, provide the correct spelling of the word.
ambigious",moyen,71,256,2,1,0.85,2.3633482911668327e-06,8.5,4.7,3.8,6.89
Pi5,SmolLM2-1.7B,Q3_K_M,"Based on the input, provide the correct spelling of the word.
ambigious",moyen,71,256,3,1,0.84,2.3525624443890997e-06,8.5,5.0,4.0,7.23
Pi5,SmolLM2-1.7B,Q3_K_M,Construct a query that returns information about the Eiffel Tower.,moyen,66,256,1,0,0.58,2.0257107716669607e-06,7.3,3.1,2.5,6.77
Pi5,SmolLM2-1.7B,Q3_K_M,Construct a query that returns information about the Eiffel Tower.,moyen,66,256,2,0,0.54,1.9747020001201097e-06,7.1,3.1,2.5,6.78
Pi5,SmolLM2-1.7B,Q3_K_M,Construct a query that returns information about the Eiffel Tower.,moyen,66,256,3,0,0.58,2.025311398444501e-06,7.3,2.5,1.9,5.35
Pi5,SmolLM2-1.7B,Q3_K_M,"Create a set from the given input and find its size.
[1, 2, 3, 2, 4, 2]",moyen,71,256,1,0,1.37,4.926202035308879e-06,17.7,7.7,6.2,6.75
Pi5,SmolLM2-1.7B,Q3_K_M,"Create a set from the given input and find its size.
[1, 2, 3, 2, 4, 2]",moyen,71,256,2,0,1.36,4.715787165720265e-06,17.0,8.2,6.7,7.18
Pi5,SmolLM2-1.7B,Q3_K_M,"Create a set from the given input and find its size.
[1, 2, 3, 2, 4, 2]",moyen,71,256,3,0,1.36,4.691086857680344e-06,16.9,8.1,6.6,7.12
Pi5,SmolLM2-1.7B,Q3_K_M,"What are the different types of characters in the given play?
Macbeth",moyen,69,256,1,256,30.78,5.677777649607996e-05,204.4,174.7,123.4,5.68
Pi5,SmolLM2-1.7B,Q3_K_M,"What are the different types of characters in the given play?
Macbeth",moyen,69,256,2,256,30.7,5.5853209219854503e-05,201.1,169.8,118.4,5.54
Pi5,SmolLM2-1.7B,Q3_K_M,"What are the different types of characters in the given play?
Macbeth",moyen,69,256,3,256,30.72,5.570443586360422e-05,200.5,174.4,123.2,5.72
Pi5,SmolLM2-1.7B,Q3_K_M,"Find the x-intercept of the line given by the equation.
y = 4x + 10",moyen,67,256,1,0,1.04,2.609643957811074e-06,9.4,7.5,6.1,7.37
Pi5,SmolLM2-1.7B,Q3_K_M,"Find the x-intercept of the line given by the equation.
y = 4x + 10",moyen,67,256,2,0,1.04,2.604808980564302e-06,9.4,7.8,6.3,7.78
Pi5,SmolLM2-1.7B,Q3_K_M,"Find the x-intercept of the line given by the equation.
y = 4x + 10",moyen,67,256,3,0,1.04,2.6117901822967634e-06,9.4,7.4,5.9,7.24
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify the most suitable adverb for the following sentence
She works",moyen,70,256,1,5,1.13,2.7388858216017134e-06,9.9,5.9,4.6,6.45
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify the most suitable adverb for the following sentence
She works",moyen,70,256,2,5,1.15,2.760964843763103e-06,9.9,6.6,5.0,6.47
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify the most suitable adverb for the following sentence
She works",moyen,70,256,3,5,1.14,2.7545265912732038e-06,9.9,6.5,5.1,6.44
Pi5,SmolLM2-1.7B,Q3_K_M,"Generate a sentence using the words ""caffeine"", ""hunter"", and ""monday"".",moyen,71,256,1,0,0.87,2.392955457777741e-06,8.6,5.3,4.2,6.74
Pi5,SmolLM2-1.7B,Q3_K_M,"Generate a sentence using the words ""caffeine"", ""hunter"", and ""monday"".",moyen,71,256,2,0,0.85,2.3635493816671217e-06,8.5,4.7,3.8,6.89
Pi5,SmolLM2-1.7B,Q3_K_M,"Generate a sentence using the words ""caffeine"", ""hunter"", and ""monday"".",moyen,71,256,3,0,0.86,2.3818366174445296e-06,8.6,4.7,3.8,6.87
Pi5,SmolLM2-1.7B,Q3_K_M,"Sort the given words from most to least serious
Sneeze, trip, shout",moyen,67,256,1,6,1.47,3.714917480717534e-06,13.4,8.9,6.8,6.55
Pi5,SmolLM2-1.7B,Q3_K_M,"Sort the given words from most to least serious
Sneeze, trip, shout",moyen,67,256,2,6,1.48,3.7425357321863445e-06,13.5,8.8,6.8,6.46
Pi5,SmolLM2-1.7B,Q3_K_M,"Sort the given words from most to least serious
Sneeze, trip, shout",moyen,67,256,3,6,1.48,3.769232970527622e-06,13.6,8.7,6.7,6.39
Pi5,SmolLM2-1.7B,Q3_K_M,Come up with at least 5 ways to use deep learning in healthcare.,moyen,64,256,1,0,0.71,2.1825599282778967e-06,7.9,4.6,3.7,6.81
Pi5,SmolLM2-1.7B,Q3_K_M,Come up with at least 5 ways to use deep learning in healthcare.,moyen,64,256,2,0,0.71,2.1874403683337076e-06,7.9,3.9,2.9,5.64
Pi5,SmolLM2-1.7B,Q3_K_M,Come up with at least 5 ways to use deep learning in healthcare.,moyen,64,256,3,0,0.81,2.3162824594446065e-06,8.3,3.3,2.4,4.8
Pi5,SmolLM2-1.7B,Q3_K_M,Describe the concept of artificial intelligence in your own words.,moyen,66,256,1,0,0.57,2.002341834047093e-06,7.2,3.0,2.3,6.52
Pi5,SmolLM2-1.7B,Q3_K_M,Describe the concept of artificial intelligence in your own words.,moyen,66,256,2,0,0.55,1.9829803639440037e-06,7.1,2.4,1.8,5.25
Pi5,SmolLM2-1.7B,Q3_K_M,Describe the concept of artificial intelligence in your own words.,moyen,66,256,3,0,0.53,1.9539693174487786e-06,7.0,3.1,2.5,6.72
Pi5,SmolLM2-1.7B,Q3_K_M,Follow the given example and create a poem about a passionate sunset.,moyen,69,256,1,0,0.64,2.0958528565838202e-06,7.5,3.3,2.7,7.35
Pi5,SmolLM2-1.7B,Q3_K_M,Follow the given example and create a poem about a passionate sunset.,moyen,69,256,2,0,0.61,2.052791451888854e-06,7.4,2.9,2.3,6.34
Pi5,SmolLM2-1.7B,Q3_K_M,Follow the given example and create a poem about a passionate sunset.,moyen,69,256,3,0,0.6,2.0483756415000647e-06,7.4,3.1,2.5,6.77
Pi5,SmolLM2-1.7B,Q3_K_M,"Create three subheadings that could be used to divide the news article.
Tesla announced plans to develop a new battery technology that will increase the range of electric vehicles.",long,180,256,1,207,25.8,5.11273858543847e-05,184.1,147.5,104.4,5.73
Pi5,SmolLM2-1.7B,Q3_K_M,"Create three subheadings that could be used to divide the news article.
Tesla announced plans to develop a new battery technology that will increase the range of electric vehicles.",long,180,256,2,207,25.79,5.102199938642348e-05,183.7,148.7,106.4,5.8
Pi5,SmolLM2-1.7B,Q3_K_M,"Create three subheadings that could be used to divide the news article.
Tesla announced plans to develop a new battery technology that will increase the range of electric vehicles.",long,180,256,3,207,25.79,5.088053063251037e-05,183.2,145.5,103.0,5.71
Pi5,SmolLM2-1.7B,Q3_K_M,"Given a string word and a dictionary of words, determine whether the word is a valid word.
String word: ""hello""
Dictionary of words: { ""hi"", ""bye"", ""hello"", ""world"" }",long,166,256,1,78,11.04,2.42602704004236e-05,87.3,65.0,47.3,6.01
Pi5,SmolLM2-1.7B,Q3_K_M,"Given a string word and a dictionary of words, determine whether the word is a valid word.
String word: ""hello""
Dictionary of words: { ""hi"", ""bye"", ""hello"", ""world"" }",long,166,256,2,78,11.07,2.4250409395315703e-05,87.3,65.4,47.4,5.93
Pi5,SmolLM2-1.7B,Q3_K_M,"Given a string word and a dictionary of words, determine whether the word is a valid word.
String word: ""hello""
Dictionary of words: { ""hi"", ""bye"", ""hello"", ""world"" }",long,166,256,3,78,11.07,2.4348174739807044e-05,87.7,64.8,47.0,5.87
Pi5,SmolLM2-1.7B,Q3_K_M,"Given the following conditions, formulate a hypothesis.
Temperature, humidity, and precipitation levels are higher during the summer than the winter.",long,149,256,1,99,12.74,2.5199655531267893e-05,90.7,71.9,51.0,5.73
Pi5,SmolLM2-1.7B,Q3_K_M,"Given the following conditions, formulate a hypothesis.
Temperature, humidity, and precipitation levels are higher during the summer than the winter.",long,149,256,2,99,12.69,2.480111404685226e-05,89.3,71.8,51.3,5.75
Pi5,SmolLM2-1.7B,Q3_K_M,"Given the following conditions, formulate a hypothesis.
Temperature, humidity, and precipitation levels are higher during the summer than the winter.",long,149,256,3,99,12.76,2.5398522319138343e-05,91.4,73.9,53.1,5.92
Pi5,SmolLM2-1.7B,Q3_K_M,"Make an assumption based on the following data.
90% of surveyed software developers work more than 8 hours a day, while only 10% work less than 8 hours a day",long,157,256,1,27,4.89,1.414238393589682e-05,50.9,29.1,21.7,6.18
Pi5,SmolLM2-1.7B,Q3_K_M,"Make an assumption based on the following data.
90% of surveyed software developers work more than 8 hours a day, while only 10% work less than 8 hours a day",long,157,256,2,27,4.94,1.4164770182254753e-05,51.0,29.1,21.6,6.03
Pi5,SmolLM2-1.7B,Q3_K_M,"Make an assumption based on the following data.
90% of surveyed software developers work more than 8 hours a day, while only 10% work less than 8 hours a day",long,157,256,3,27,5.0,1.6179794663785e-05,58.2,31.7,23.8,6.57
Pi5,SmolLM2-1.7B,Q3_K_M,"Given the following details, write a short paragraph about a vacation destination.
Destination: Mexico 
Time of Year: Summer 
Activities: Swimming, fishing, snorkeling, zip-lining",long,179,256,1,33,5.58,1.5156556936935065e-05,54.6,33.9,25.2,6.1
Pi5,SmolLM2-1.7B,Q3_K_M,"Given the following details, write a short paragraph about a vacation destination.
Destination: Mexico 
Time of Year: Summer 
Activities: Swimming, fishing, snorkeling, zip-lining",long,179,256,2,33,5.58,1.5161345963829851e-05,54.6,32.7,24.0,5.99
Pi5,SmolLM2-1.7B,Q3_K_M,"Given the following details, write a short paragraph about a vacation destination.
Destination: Mexico 
Time of Year: Summer 
Activities: Swimming, fishing, snorkeling, zip-lining",long,179,256,3,33,5.61,1.5191858601301508e-05,54.7,33.9,25.3,6.29
Pi5,SmolLM2-1.7B,Q3_K_M,"Generate a random password with 8 characters containing at least one number, one special character, one capital letter and one lowercase letter.",long,144,256,1,0,1.14,2.789916486755069e-06,10.0,7.8,6.3,7.68
Pi5,SmolLM2-1.7B,Q3_K_M,"Generate a random password with 8 characters containing at least one number, one special character, one capital letter and one lowercase letter.",long,144,256,2,0,1.17,2.9311711178087675e-06,10.6,6.9,5.5,6.8
Pi5,SmolLM2-1.7B,Q3_K_M,"Generate a random password with 8 characters containing at least one number, one special character, one capital letter and one lowercase letter.",long,144,256,3,0,1.26,3.0115595746802896e-06,10.8,7.8,6.1,6.85
Pi5,SmolLM2-1.7B,Q3_K_M,"Edit the following to make it suitable for school-aged children.
Bob and Bill were arguing over who was the best player on the basketball team.",long,143,256,1,256,31.44,5.858657073963002e-05,210.9,176.6,124.7,5.65
Pi5,SmolLM2-1.7B,Q3_K_M,"Edit the following to make it suitable for school-aged children.
Bob and Bill were arguing over who was the best player on the basketball team.",long,143,256,2,256,31.45,5.85893068862504e-05,210.9,179.5,127.5,5.72
Pi5,SmolLM2-1.7B,Q3_K_M,"Edit the following to make it suitable for school-aged children.
Bob and Bill were arguing over who was the best player on the basketball team.",long,143,256,3,256,31.47,5.874561796681153e-05,211.5,178.4,126.2,5.72
Pi5,SmolLM2-1.7B,Q3_K_M,"Given a description of a situation, provide an appropriate ethical judgement.
A chef was not happy with the performance of a waiter, so he yelled and cursed at him in front of other people.",long,189,256,1,0,1.77,9.098153593556061e-06,32.8,11.1,8.9,7.09
Pi5,SmolLM2-1.7B,Q3_K_M,"Given a description of a situation, provide an appropriate ethical judgement.
A chef was not happy with the performance of a waiter, so he yelled and cursed at him in front of other people.",long,189,256,2,0,1.77,9.014004769630199e-06,32.5,12.4,9.9,7.31
Pi5,SmolLM2-1.7B,Q3_K_M,"Given a description of a situation, provide an appropriate ethical judgement.
A chef was not happy with the performance of a waiter, so he yelled and cursed at him in front of other people.",long,189,256,3,0,1.77,9.086602378999487e-06,32.7,12.0,9.7,7.49
Pi5,SmolLM2-1.7B,Q3_K_M,"Rewrite this poem to make it more vivid and interesting.
Once I had a house
where I made a thousand memories
It served me well
but now I'm gone",long,143,256,1,256,31.79,6.123929748172734e-05,220.5,178.9,126.4,5.65
Pi5,SmolLM2-1.7B,Q3_K_M,"Rewrite this poem to make it more vivid and interesting.
Once I had a house
where I made a thousand memories
It served me well
but now I'm gone",long,143,256,2,256,31.79,6.151525887221872e-05,221.5,180.3,128.1,5.68
Pi5,SmolLM2-1.7B,Q3_K_M,"Rewrite this poem to make it more vivid and interesting.
Once I had a house
where I made a thousand memories
It served me well
but now I'm gone",long,143,256,3,256,31.8,6.119105997869591e-05,220.3,177.6,125.2,5.63
Pi5,SmolLM2-1.7B,Q3_K_M,"Categorize the following text into one of the genres: Comedy, Thriller, Romance, or Drama.
Two kids from very different backgrounds meet in summer camp and form an unlikely friendship.",long,184,256,1,0,1.7,8.695630359865143e-06,31.3,11.5,9.3,7.19
Pi5,SmolLM2-1.7B,Q3_K_M,"Categorize the following text into one of the genres: Comedy, Thriller, Romance, or Drama.
Two kids from very different backgrounds meet in summer camp and form an unlikely friendship.",long,184,256,2,0,1.71,8.806880081552741e-06,31.7,12.0,9.8,7.49
Pi5,SmolLM2-1.7B,Q3_K_M,"Categorize the following text into one of the genres: Comedy, Thriller, Romance, or Drama.
Two kids from very different backgrounds meet in summer camp and form an unlikely friendship.",long,184,256,3,0,1.72,8.762546428360046e-06,31.5,10.9,8.5,6.4
Pi5,SmolLM2-1.7B,Q3_K_M,"Label the following news article as either ""Political"" or ""Entertainment""
Ansel Elgort and Gabrielle Union have both been cast in a new romantic summer movie to be released in 2022.",long,181,256,1,0,1.97,9.75089798666866e-06,35.1,13.4,10.7,7.01
Pi5,SmolLM2-1.7B,Q3_K_M,"Label the following news article as either ""Political"" or ""Entertainment""
Ansel Elgort and Gabrielle Union have both been cast in a new romantic summer movie to be released in 2022.",long,181,256,2,0,1.98,9.78102420202668e-06,35.2,13.1,10.7,7.3
Pi5,SmolLM2-1.7B,Q3_K_M,"Label the following news article as either ""Political"" or ""Entertainment""
Ansel Elgort and Gabrielle Union have both been cast in a new romantic summer movie to be released in 2022.",long,181,256,3,0,1.99,9.703108881469027e-06,34.9,13.4,10.9,7.38
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify the sentence in the given paragraph that contains all the given words.
Words: happiness, life, strive 
Paragraph:
Living your best life means striving for happiness in all aspects of life. Happiness can be found in the small daily moments, but also through being content with what you have. You don’t need to struggle to be content. You just need to shift how you look at life in order to see the beauty that already exists.",long,433,256,1,0,3.91,2.0949484293981608e-05,75.4,27.9,22.9,7.53
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify the sentence in the given paragraph that contains all the given words.
Words: happiness, life, strive 
Paragraph:
Living your best life means striving for happiness in all aspects of life. Happiness can be found in the small daily moments, but also through being content with what you have. You don’t need to struggle to be content. You just need to shift how you look at life in order to see the beauty that already exists.",long,433,256,2,0,3.95,2.074807375944523e-05,74.7,27.2,21.8,7.09
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify the sentence in the given paragraph that contains all the given words.
Words: happiness, life, strive 
Paragraph:
Living your best life means striving for happiness in all aspects of life. Happiness can be found in the small daily moments, but also through being content with what you have. You don’t need to struggle to be content. You just need to shift how you look at life in order to see the beauty that already exists.",long,433,256,3,0,3.94,2.091002452388674e-05,75.3,28.7,23.1,7.52
Pi5,SmolLM2-1.7B,Q3_K_M,"Frame a one-sentence hypothesis given the following information.
The goal of the study is to analyze the impact of online learning platforms on student performance.",long,164,256,1,6,2.0,5.7819381167658e-06,20.8,12.7,9.9,6.66
Pi5,SmolLM2-1.7B,Q3_K_M,"Frame a one-sentence hypothesis given the following information.
The goal of the study is to analyze the impact of online learning platforms on student performance.",long,164,256,2,6,2.06,6.502890735303594e-06,23.4,13.2,10.4,6.85
Pi5,SmolLM2-1.7B,Q3_K_M,"Frame a one-sentence hypothesis given the following information.
The goal of the study is to analyze the impact of online learning platforms on student performance.",long,164,256,3,6,2.14,6.232582244103482e-06,22.4,13.4,10.4,6.66
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify if the given sentence is a rhetorical question or not. Output 1 for rhetorical question, and 0 for not.
Are you out of your mind?",long,138,256,1,0,1.44,6.0941054129710966e-06,21.9,9.2,7.5,7.38
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify if the given sentence is a rhetorical question or not. Output 1 for rhetorical question, and 0 for not.
Are you out of your mind?",long,138,256,2,0,1.44,6.271014095214123e-06,22.6,8.6,6.8,6.96
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify if the given sentence is a rhetorical question or not. Output 1 for rhetorical question, and 0 for not.
Are you out of your mind?",long,138,256,3,0,1.43,6.045608776239221e-06,21.8,9.8,7.9,7.14
Pi5,SmolLM2-1.7B,Q3_K_M,"Create a short news article summarizing the following information.
A new report from the World Health Organization suggests that mental health in adolescents is declining due to increased social media and technology use.",long,220,256,1,0,1.6,8.516914897831463e-06,30.7,9.7,7.7,6.6
Pi5,SmolLM2-1.7B,Q3_K_M,"Create a short news article summarizing the following information.
A new report from the World Health Organization suggests that mental health in adolescents is declining due to increased social media and technology use.",long,220,256,2,0,1.55,8.296082458962433e-06,29.9,10.0,8.1,7.26
Pi5,SmolLM2-1.7B,Q3_K_M,"Create a short news article summarizing the following information.
A new report from the World Health Organization suggests that mental health in adolescents is declining due to increased social media and technology use.",long,220,256,3,0,1.54,8.338397468611776e-06,30.0,10.7,8.8,7.31
